City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
171,ponta do sol,2,BR,1577562111,79,-20.63,-46.0,75.47,3.67
172,karpogory,0,RU,1577561804,94,64.0,44.44,3.31,4.99
173,bronnoysund,90,NO,1577562173,80,65.46,12.2,41.0,18.34
174,nome,90,US,1577562080,88,30.04,-94.42,75.2,11.41
175,beaumont,90,US,1577561936,88,30.09,-94.1,75.2,11.41
176,rio grande,20,BR,1577561789,53,-32.03,-52.1,96.8,10.29
177,ostrovnoy,100,RU,1577562130,83,68.05,39.51,19.78,39.95
178,havre-saint-pierre,75,CA,1577562174,79,50.23,-63.6,23.0,8.05
179,tasiilaq,100,GL,1577562100,79,65.61,-37.64,26.6,25.28
180,ribeira grande,90,PT,1577562124,82,38.52,-28.7,55.4,5.82
181,aberfeldy,75,GB,1577562174,81,56.62,-3.87,51.01,11.41
182,qena,0,EG,1577562174,54,26.16,32.72,55.4,4.52
183,marsh harbour,80,BS,1577562174,79,26.54,-77.06,74.1,18.52
184,avera,90,US,1577561804,73,33.19,-82.53,73.0,6.93
185,shostka,100,UA,1577562175,85,51.86,33.47,29.37,12.01
186,guangyuan,29,CN,1577561827,74,32.43,105.86,42.01,2.35
187,jalu,0,LY,1577561800,75,29.03,21.55,54.52,9.6
188,camacha,75,PT,1577562175,93,33.08,-16.33,68.0,9.17
189,richards bay,100,ZA,1577562120,77,-28.77,32.06,72.1,14.54
190,narsaq,90,GL,1577562083,92,60.91,-46.05,24.8,1.16
191,taltal,77,CL,1577562095,66,-25.41,-70.49,65.75,6.49
192,yaan,0,NG,1577562118,19,7.38,8.57,79.75,2.73
193,hithadhoo,100,MV,1577562087,78,-0.6,73.08,82.02,9.64
194,port elizabeth,1,US,1577562097,54,39.31,-74.98,60.01,6.93
195,herat,0,AF,1577562176,41,34.35,62.22,42.8,5.82
196,lasa,75,CY,1577562176,87,34.92,32.53,53.6,8.05
197,saint anthony,90,US,1577562102,85,43.97,-111.68,23.0,3.18
198,tautira,40,PF,1577562176,78,-17.73,-149.15,82.4,13.87
199,alice springs,33,AU,1577561536,32,-23.7,133.88,80.6,9.95
200,teahupoo,40,PF,1577562176,78,-17.83,-149.27,82.4,13.87
201,khasan,100,RU,1577562117,95,42.43,130.64,17.71,2.35
202,bitam,66,GA,1577562078,85,2.08,11.49,71.47,4.41
203,laguna,40,BZ,1577562100,78,16.17,-88.94,78.8,6.93
204,dauriya,100,RU,1577562177,84,49.93,116.85,-11.16,10.2
205,caravelas,4,BR,1577562135,74,-17.73,-39.27,77.56,8.05
206,fier,0,AL,1577562177,46,40.73,19.56,40.77,12.88
207,walvis bay,27,NA,1577562100,77,-22.95,14.51,64.4,4.7
208,kaeo,0,NZ,1577562177,100,-35.1,173.78,60.01,3.06
209,ishinomaki,0,JP,1577562177,75,38.42,141.3,34.77,8.23
210,mareeba,90,AU,1577562130,88,-16.99,145.42,77.0,5.82
211,edmond,100,US,1577562177,93,35.66,-97.47,61.0,16.11
212,artyom,20,RU,1577562178,65,43.36,132.19,6.8,4.47
213,bud,75,NO,1577562089,86,62.91,6.91,50.0,6.93
214,fortuna,1,US,1577561790,66,40.6,-124.16,51.01,5.64
215,antofagasta,20,CL,1577561811,68,-23.65,-70.4,72.0,17.22
216,belturbet,100,GB,1577562178,83,54.1,-7.44,50.0,3.0
217,plettenberg bay,0,ZA,1577562094,84,-34.05,23.37,64.26,12.03
218,kaitangata,100,NZ,1577562093,72,-46.28,169.85,51.01,3.0
219,dingle,2,PH,1577562108,92,11.0,122.67,71.13,8.05
220,tiksi,98,RU,1577562097,87,71.64,128.87,-29.02,6.26
221,mar del plata,0,AR,1577561829,26,-46.43,-67.52,74.93,12.5
222,puerto escondido,40,MX,1577561829,66,15.86,-97.07,84.2,8.05
223,cradock,0,ZA,1577562179,64,-32.16,25.62,63.03,5.97
224,pyapon,0,MM,1577562109,71,16.29,95.68,71.38,7.49
225,buin,0,CL,1577561787,18,-33.73,-70.74,93.2,8.05
226,luwuk,100,ID,1577562179,77,-0.95,122.79,81.75,7.2
227,ishigaki,100,JP,1577561961,81,24.34,124.16,71.8,15.23
228,saint george,75,GR,1577562107,65,39.45,22.34,41.0,9.17
229,lamesa,90,US,1577562179,30,32.74,-101.95,57.2,21.92
230,mogadishu,33,SO,1577562104,82,2.04,45.34,81.23,22.3
231,moron,9,HT,1577562180,72,18.56,-74.26,80.42,7.14
232,loviisa,100,FI,1577562180,92,60.46,26.23,17.01,1.12
233,port lincoln,0,AU,1577561923,62,-34.72,135.86,69.28,6.17
234,saint-francois,90,FR,1577562180,75,46.42,3.91,42.8,3.36
235,grand gaube,75,MU,1577561799,88,-20.01,57.66,78.01,11.41
236,baghdad,0,IQ,1577562010,66,33.3,44.38,50.0,3.36
237,sao joao da barra,20,BR,1577562115,65,-21.64,-41.05,84.2,13.87
238,namatanai,50,PG,1577561834,76,-3.66,152.44,82.71,14.05
239,torbay,90,CA,1577562093,98,47.66,-52.73,33.8,20.8
240,boa vista,75,BR,1577562181,52,2.82,-60.67,91.4,13.87
241,yamada,20,JP,1577561781,62,36.58,137.08,36.0,2.24
242,minna,0,NG,1577562181,28,9.62,6.55,82.4,9.17
243,ballina,75,IE,1577562181,87,54.11,-9.15,55.99,17.22
244,maun,75,BW,1577562181,74,-19.99,23.42,78.8,4.7
245,wamba,0,CD,1577562181,54,2.14,27.99,66.63,1.77
246,bambous virieux,75,MU,1577562097,88,-20.34,57.76,78.01,11.41
247,chernyshevskiy,100,RU,1577562182,96,63.01,112.47,-21.75,7.78
248,mikhaylovka,0,RU,1577562098,98,52.96,103.29,-35.28,1.66
249,bilma,0,NE,1577562094,23,18.69,12.92,60.66,7.74
250,khandyga,100,RU,1577562182,98,62.65,135.58,-29.52,2.44
251,la sarre,100,CA,1577562182,94,48.8,-79.2,27.82,9.89
252,fukue,20,JP,1577561817,76,35.03,136.69,41.0,13.87
253,husavik,100,CA,1577562102,79,50.56,-96.99,21.0,3.58
254,boueni,95,YT,1577562182,100,-12.9,45.08,78.8,4.7
255,hailar,100,CN,1577562182,95,49.2,119.7,-1.43,14.43
256,touros,40,BR,1577562121,62,-5.2,-35.46,84.2,16.11
257,kindia,0,GN,1577562183,49,10.05,-12.86,73.11,3.31
258,atar,0,MR,1577561818,13,20.52,-13.05,84.2,6.93
259,kokkola,75,FI,1577562183,85,63.84,23.13,39.0,18.34
260,aseri,6,EE,1577562183,67,59.45,26.87,29.16,4.72
261,marshfield,1,US,1577562033,49,42.09,-70.71,48.99,10.29
262,superior,90,US,1577562023,68,39.95,-105.17,30.99,21.92
263,redcliffe,75,AU,1577562183,82,-31.94,115.94,68.0,5.82
264,xuddur,51,SO,1577562184,46,4.12,43.89,77.86,9.6
265,lengshuitan,100,CN,1577562184,85,26.41,111.6,46.27,1.83
266,praia da vitoria,75,PT,1577561818,93,38.73,-27.07,55.4,13.33
267,longyearbyen,40,NO,1577562092,72,78.22,15.63,17.6,21.92
268,sao miguel do araguaia,96,BR,1577562125,67,-13.28,-50.16,86.34,2.3
269,te anau,100,NZ,1577562184,75,-45.41,167.72,47.86,8.39
270,poso,77,ID,1577562185,84,-1.4,120.75,69.31,1.43
271,vydrino,100,RU,1577562185,100,51.46,104.64,-2.94,9.04
272,nishihara,75,JP,1577562185,56,35.74,139.53,43.0,10.29
273,sovetskiy,87,RU,1577562185,92,56.76,48.47,15.12,13.02
274,kohat,5,PK,1577562185,87,33.6,71.44,42.8,4.7
275,sur,37,OM,1577562134,68,22.57,59.53,70.47,3.78
276,henties bay,98,NA,1577562185,89,-22.12,14.28,62.01,1.99
277,awjilah,0,LY,1577562185,75,29.14,21.3,54.52,9.6
278,nakusp,95,CA,1577562185,92,50.24,-117.8,28.0,1.01
279,katangli,48,RU,1577562186,91,51.71,143.23,-3.68,13.04
280,rio cuarto,100,AR,1577562186,75,-33.13,-64.35,72.81,16.33
281,manta,100,RO,1577562186,62,45.1,24.1,31.73,2.28
282,de-kastri,73,RU,1577562186,93,51.48,140.77,-2.65,10.58
283,kharp,100,RU,1577562186,94,66.82,65.8,-0.94,8.68
284,nouadhibou,3,MR,1577562081,43,20.93,-17.03,73.4,8.05
285,hollola,100,FI,1577562186,96,60.99,25.5,14.0,5.26
286,healdsburg,1,US,1577562118,71,38.61,-122.87,57.99,2.3
287,dzyhivka,100,UA,1577562187,87,48.36,28.32,33.01,3.0
288,sayyan,52,YE,1577562187,37,15.17,44.32,50.88,1.5
289,cabo san lucas,90,MX,1577562083,55,22.89,-109.91,72.0,6.93
290,chuy,100,UY,1577562082,83,-33.69,-53.46,75.83,13.6
291,flinders,90,AU,1577562082,100,-34.58,150.85,69.01,4.7
292,virginia beach,1,US,1577561948,48,36.85,-75.98,71.01,4.14
293,cordoba,100,AR,1577562187,38,-27.78,-67.24,88.12,7.05
294,gazli,100,UZ,1577561787,42,40.13,63.45,49.3,9.42
295,griffith,100,AU,1577562013,39,-34.29,146.06,80.6,6.93
296,myskhako,75,RU,1577562188,93,44.66,37.76,39.2,4.47
297,garchitorena,3,PH,1577562188,73,13.88,123.7,80.51,13.09
298,tehachapi,1,US,1577562188,60,35.13,-118.45,52.0,3.36
299,umm kaddadah,100,SD,1577561834,26,13.6,26.69,63.12,12.64
300,labuhan,100,ID,1577561820,95,-2.54,115.51,74.16,1.59
301,lida,100,BY,1577562188,72,53.9,25.3,27.95,12.82
302,lincoln,20,GB,1577562188,93,53.23,-0.54,46.99,20.8
303,dudinka,75,RU,1577562098,76,69.41,86.18,-11.2,13.42
304,nioro,0,GM,1577562189,10,13.79,-15.05,80.92,7.58
305,timra,100,SE,1577562189,92,62.49,17.33,28.0,2.24
306,port hawkesbury,90,CA,1577562189,80,45.62,-61.36,34.0,18.34
307,seoni,0,IN,1577562189,41,22.09,79.55,46.51,4.45
308,bilecik,75,TR,1577562189,86,40.14,29.98,41.0,4.7
309,coquimbo,35,CL,1577562085,68,-29.95,-71.34,66.2,16.11
310,puerto carreno,40,CO,1577562189,52,6.19,-67.49,91.4,8.05
311,san jose,0,HN,1577561795,46,14.25,-87.96,78.4,5.35
312,iralaya,40,HN,1577562190,78,15.0,-83.23,82.4,5.82
313,nelson bay,0,AU,1577561792,82,-32.72,152.14,66.99,1.59
314,talnakh,75,RU,1577561785,76,69.49,88.39,-11.2,13.42
315,jardim,42,BR,1577562190,47,-21.48,-56.15,92.05,7.7
316,abonnema,100,NG,1577562190,73,4.71,6.79,77.0,7.63
317,isangel,38,VU,1577562121,94,-19.55,169.27,75.2,3.36
318,lompoc,1,US,1577561914,54,34.64,-120.46,60.01,3.36
319,rurrenabaque,75,BO,1577562190,83,-14.44,-67.53,84.2,1.61
320,boke,0,GN,1577562191,52,10.95,-14.28,73.15,3.85
321,olinda,2,AU,1577562191,88,-37.84,145.39,64.99,6.93
322,alofi,100,NU,1577562080,80,-19.06,-169.92,79.41,17.65
323,suez,0,EG,1577562191,54,29.97,32.54,54.63,4.54
324,hibbing,90,US,1577562191,92,47.43,-92.94,27.0,3.36
325,yatou,20,CM,1577561807,83,3.63,9.81,84.2,3.2
326,segezha,100,RU,1577562191,83,63.74,34.31,17.46,13.51
327,tilichiki,0,RU,1577562125,87,60.47,166.1,-17.84,8.25
328,nalut,1,LY,1577562131,70,31.86,10.98,51.91,7.92
